薬剤一般名,薬剤商品名,効果効能,Tmax/hr,薬効分類,効果発現時間,注意点,一般名・成分名,禁忌・重要な注意,作用機序・薬理作用,重大な副作用,看護のポイント,出典,出典URL,最終確認日,参照製品
"ソリタ−T配合顆粒2号",,"軽症・中等症の体液異常喪失時における電解質の補給・補正",,"内服用電解質剤",,,"ナトリウム・カリウム・マグネシウム配合剤","腸管閉塞、腸穿孔、小腸機能障害、重篤な腎障害、激しい嘔吐がある患者には投与しない。1包4.0gを水または微温湯100mLに溶かし、高濃度で投与しない。電解質を含む他の液との併用時は総電解質量に注意する。","水溶液として経口投与することで、腸管粘膜から電解質が吸収され、電解質を補給・補正する。溶解後はNa 60mEq/L、K 20mEq/L、Mg 3mEq/Lを含む。","電子添文の「重大な副作用」欄に記載なし。嘔吐・下痢、大量投与による水中毒が報告されている。","口渇、意識、皮膚・粘膜、体重、尿量、水分出納、血清Na・K・Mg、腎機能を確認する。1包を100mLで正しく調製し、摂取量と他の補液・電解質製剤を合わせて評価する。無理に服用させない。","PMDA 医療用医薬品情報「ソリタ−T配合顆粒2号」","https://www.pmda.go.jp/PmdaSearch/rdDetail/iyaku/3229100D2030_4?user=1","2026-07-23","ソリタ−T配合顆粒2号"
"ソリタ−T配合顆粒3号",,"軽症・中等症の脱水症, 手術後の回復期における電解質の補給・維持",,"内服用電解質剤",,,"ナトリウム・カリウム・マグネシウム配合剤","腸管閉塞、腸穿孔、小腸機能障害、重篤な腎障害、激しい嘔吐がある患者には投与しない。1包4.0gを水または微温湯100mLに溶かし、高濃度で投与しない。電解質を含む他の液との併用時は総電解質量に注意する。","水溶液として経口投与することで、腸管粘膜から電解質が吸収され、電解質を補給・維持する。溶解後はNa 35mEq/L、K 20mEq/L、Mg 3mEq/Lを含む。","電子添文の「重大な副作用」欄に記載なし。嘔吐・下痢、大量投与による水中毒が報告されている。","口渇、意識、皮膚・粘膜、体重、尿量、水分出納、血清Na・K・Mg、腎機能を確認する。1包を100mLで正しく調製し、摂取量と他の補液・電解質製剤を合わせて評価する。無理に服用させない。","PMDA 医療用医薬品情報「ソリタ−T配合顆粒3号」","https://www.pmda.go.jp/PmdaSearch/rdDetail/iyaku/3229101D2035_4?user=1","2026-07-23","ソリタ−T配合顆粒3号"
"ミヤBM細粒・錠",,"腸内菌叢の異常による諸症状の改善",,"酪酸菌製剤",,,"酪酸菌製剤（宮入菌）","電子添文に禁忌の記載なし。細粒と錠では用量・剤形が異なるため、処方内容を確認する。","宮入菌が腸管内で増殖して酪酸などの短鎖脂肪酸を産生し、腸内菌叢を整えて消化管症状を改善する。","電子添文の「重大な副作用」欄に記載なし。","便回数・便性状、腹痛、腹部膨満、脱水徴候と症状の改善を観察する。抗菌薬使用中は投与目的と便の変化を確認する。","PMDA 医療用医薬品情報「ミヤBM細粒・ミヤBM錠」","https://www.pmda.go.jp/PmdaSearch/rdDetail/iyaku/2316009C1026_1?user=1","2026-07-23","ミヤBM細粒・ミヤBM錠"
"サンリズムカプセル25mg・50mg",,"他の抗不整脈薬が使用できない、または無効な場合の頻脈性不整脈",,"クラスIc抗不整脈薬",,,"ピルシカイニド塩酸塩水和物","うっ血性心不全、高度の房室ブロック・洞房ブロックは禁忌。腎排泄型のため腎機能低下時は血中濃度上昇に注意し、心電図・脈拍・血圧を定期的に確認する。","心筋のNaチャネルを選択的に遮断し、活動電位の最大立ち上がり速度と刺激伝導を抑えて抗不整脈作用を示す。","心室細動、Torsade de pointesを含む心室頻拍、洞停止、完全房室ブロック、失神、心不全（ショック・心停止に至る場合がある）、急性腎障害、肝機能障害。","心電図、脈拍、血圧、胸部症状、めまい・失神、心不全徴候を観察する。腎機能と電解質を確認し、徐脈、QRS幅増大、QT延長、伝導障害、不整脈悪化に注意する。","PMDA 医療用医薬品情報「サンリズムカプセル25mg・50mg」","https://www.pmda.go.jp/PmdaSearch/rdDetail/iyaku/2129008M1024_3?user=1","2026-07-23","サンリズムカプセル25mg・50mg"
"シベノール錠50mg・100mg",,"他の抗不整脈薬が使用できない、または無効な場合の頻脈性不整脈",,"クラスIa抗不整脈薬",,,"シベンゾリンコハク酸塩","高度の房室ブロック・洞房ブロック、うっ血性心不全、透析中、閉塞隅角緑内障、尿貯留傾向、本剤過敏症は禁忌。指定のQT延長関連薬などと併用しない。腎機能低下時は蓄積に注意する。","心筋のNaチャネルを抑制して刺激伝導を遅らせ、活動電位持続時間も延長する。抗コリン作用も有する。","催不整脈作用、ショック・アナフィラキシー、心不全・心原性ショック、低血糖、循環不全による肝障害、肝機能障害・黄疸、血球減少、間質性肺炎。","心電図、脈拍、血圧、心不全徴候、腎機能を確認する。動悸・失神などの不整脈悪化、発汗・意識変化などの低血糖、口渇・排尿困難・眼症状などの抗コリン症状を観察する。","PMDA 医療用医薬品情報「シベノール錠50mg・100mg」","https://www.pmda.go.jp/PmdaSearch/rdDetail/iyaku/2129007F1020_4?user=1","2026-07-23","シベノール錠50mg・100mg"
"バイアスピリン錠100mg",,"狭心症・心筋梗塞・虚血性脳血管障害における血栓・塞栓形成の抑制, 冠動脈バイパス術・経皮的冠動脈形成術後の血栓・塞栓形成の抑制, 川崎病",,"抗血小板剤",,,"アスピリン","本剤・サリチル酸系製剤過敏症、消化性潰瘍、出血傾向、アスピリン喘息、出産予定日12週以内の妊婦は禁忌。適応により新生児・乳児なども禁忌。出血、手術・処置予定、併用薬を確認する。","血小板のシクロオキシゲナーゼ1を不可逆的に阻害してトロンボキサンA2産生を抑え、血小板凝集を抑制する。","ショック・アナフィラキシー、頭蓋内・消化管などの出血、TEN・Stevens-Johnson症候群・はく脱性皮膚炎、血球減少、喘息発作、肝機能障害・黄疸、消化性潰瘍・小腸／大腸潰瘍、アレルギー反応に伴う急性冠症候群。","皮下出血、鼻出血、血尿、黒色便、吐血、頭痛・麻痺・意識変化を観察する。Hb・血小板、便潜血、胃部症状を確認する。アレルギー症状に胸痛・呼吸困難を伴う場合は直ちに報告し、手術・抜歯前は自己判断で休薬せず処方医へ確認する。","PMDA 医療用医薬品情報「バイアスピリン錠100mg」","https://www.pmda.go.jp/PmdaSearch/rdDetail/iyaku/3399007H1021_1?user=1","2026-07-23","バイアスピリン錠100mg"
"エンレスト錠50mg・100mg・200mg",,"慢性心不全, 高血圧症",,"アンジオテンシン受容体ネプリライシン阻害薬",,,"サクビトリルバルサルタンナトリウム水和物","ACE阻害薬投与中・中止後36時間以内、血管性浮腫の既往、アリスキレン投与中の糖尿病患者、重度肝機能障害、妊婦、本剤過敏症は禁忌。低血圧、腎機能障害、高カリウム血症に注意する。","サクビトリルがネプリライシンを阻害してナトリウム利尿ペプチド系を増強し、バルサルタンがアンジオテンシンⅡ AT1受容体を遮断する。","気道閉塞につながる血管性浮腫・腸管血管性浮腫、腎機能障害・腎不全、低血圧、高カリウム血症、ショック・失神・意識消失、血球減少、間質性肺炎、低血糖、横紋筋融解症、重篤な皮膚障害、肝炎。","血圧、体重、浮腫、呼吸状態、尿量、腎機能、血清Kを確認する。舌・喉頭の腫脹や呼吸困難に加え、原因不明の腹痛・悪心・嘔吐・下痢は血管性浮腫を疑う。ACE阻害薬からの切替間隔と、K製剤・K保持性利尿薬の併用を確認する。","PMDA 医療用医薬品情報「エンレスト錠50mg・100mg・200mg」","https://www.pmda.go.jp/PmdaSearch/rdDetail/iyaku/2190041F1027_1?user=1","2026-07-23","エンレスト錠50mg・100mg・200mg"
"ネキシウムカプセル10mg・20mg",,"胃潰瘍・十二指腸潰瘍・逆流性食道炎などの酸関連疾患, NSAIDs・低用量アスピリン投与時の潰瘍再発抑制, ヘリコバクター・ピロリ除菌の補助",,"プロトンポンプ阻害薬",,,"エソメプラゾールマグネシウム水和物","本剤過敏症、アタザナビルまたはリルピビリン投与中は禁忌。長期投与では低Mg血症に注意し、血液像、肝機能、腎機能を確認する。症状が悪性腫瘍を隠す可能性にも注意する。","胃壁細胞のH+/K+-ATPaseを阻害して、胃酸分泌の最終段階を抑制する。","ショック・アナフィラキシー、重篤な血液障害、劇症肝炎・肝不全、TEN・Stevens-Johnson症候群、間質性肺炎、間質性腎炎・急性腎障害、横紋筋融解症、低Na血症、錯乱、視力障害、低Mg血症。","胸やけ・腹痛・消化管出血徴候と症状改善を確認する。長期投与ではMg・Na、血算、肝腎機能を確認し、筋力低下、痙攣、しびれ、不整脈に注意する。カプセルをかみ砕かないよう確認する。","PMDA 医療用医薬品情報「ネキシウムカプセル10mg・20mg」","https://www.pmda.go.jp/PmdaSearch/rdDetail/iyaku/2329029M1027_1?user=1","2026-07-23","ネキシウムカプセル10mg・20mg"
"フォシーガ錠5mg・10mg",,"2型糖尿病, 1型糖尿病, 慢性心不全, 慢性腎臓病",,"選択的SGLT2阻害薬",,,"ダパグリフロジンプロピレングリコール水和物","本剤過敏症、重症ケトーシス・糖尿病性昏睡または前昏睡、重症感染症、手術前後、重篤な外傷は禁忌。脱水、尿路・性器感染、ケトアシドーシスに注意し、適応と腎機能に応じて使用可否を確認する。","腎近位尿細管のSGLT2を選択的に阻害して尿糖排泄と浸透圧利尿を促す。心不全・慢性腎臓病では血行動態や代謝への複合的作用が関与すると考えられる。","低血糖、腎盂腎炎、フルニエ壊疽、敗血症、脱水、ケトアシドーシス。","血糖、尿・血中ケトン、腎機能、血圧、体重、水分出納を確認する。口渇・頻尿・低血圧、悪心・腹痛・過呼吸、発熱・排尿痛・会陰部症状を観察する。食事摂取不良やシックデイ時は医師へ確認する。","PMDA 医療用医薬品情報「フォシーガ錠5mg・10mg」","https://www.pmda.go.jp/PmdaSearch/rdDetail/iyaku/3969019F1027_2?user=1","2026-07-23","フォシーガ錠5mg・10mg"
"エフィエント錠2.5mg・3.75mg・5mg・OD錠20mg",,"経皮的冠動脈形成術が適用される虚血性心疾患における血栓性事象の抑制, 虚血性脳血管障害後の再発抑制",,"抗血小板剤",,,"プラスグレル塩酸塩","活動性出血、本剤過敏症は禁忌。適応により使用する規格・用量が異なる。手術は原則14日以上前の中止が望ましいため、自己判断せず医師へ確認する。抗凝固薬・他の抗血小板薬との併用で出血リスクが高まる。","活性代謝物が血小板のADP受容体P2Y12を不可逆的に阻害し、血小板活性化と凝集を抑制する。","頭蓋内・消化管などの出血、血栓性血小板減少性紫斑病、血管浮腫を含む過敏症、肝機能障害・黄疸、無顆粒球症・再生不良性貧血を含む汎血球減少症。","皮下出血、鼻出血、血尿、黒色便、頭痛・麻痺・意識変化を観察する。血算、肝機能、血圧を確認し、開始後2か月はTTPを示す血小板減少・溶血・発熱・腎機能障害・神経症状に注意する。","PMDA 医療用医薬品情報「エフィエント錠2.5mg・3.75mg・5mg・OD錠20mg」","https://www.pmda.go.jp/PmdaSearch/rdDetail/iyaku/3399009F1020_1?user=1","2026-07-23","エフィエント錠2.5mg・3.75mg・5mg・OD錠20mg"
"メインテート錠0.625mg・2.5mg・5mg",,"本態性高血圧症, 狭心症, 心室性期外収縮, 虚血性心疾患・拡張型心筋症に基づく慢性心不全, 頻脈性心房細動",,"選択的β1遮断薬",,,"ビソプロロールフマル酸塩","高度徐脈、第Ⅱ・Ⅲ度房室ブロック、洞房ブロック、洞不全症候群、心原性ショック、肺高血圧による右心不全、静注強心薬・血管拡張薬を要する心不全、非代償性心不全、重度末梢循環障害、未治療の褐色細胞腫・パラガングリオーマ、代謝性アシドーシス、本剤過敏症は禁忌。急に中止しない。","心臓のβ1受容体を選択的に遮断し、心拍数・心収縮力と房室伝導を抑えて心筋酸素需要や血圧を低下させる。","心不全、完全房室ブロック、高度徐脈、洞不全症候群。","脈拍、血圧、心電図、体重、浮腫、呼吸状態を確認する。徐脈、低血圧、心不全悪化、めまいを観察する。糖尿病患者では低血糖症状を隠すことがあり、気管支喘息・COPDでは気管支痙攣に注意する。","PMDA 電子添文「メインテート錠0.625mg・2.5mg・5mg」","https://www.pmda.go.jp/PmdaSearch/iyakuDetail/ResultDataSetPDF/400315_2123016F1107_1_20","2026-07-23","メインテート錠0.625mg・2.5mg・5mg"
"オルメテックOD錠5mg・10mg・20mg・40mg",,"高血圧症",,"アンジオテンシンⅡ受容体拮抗薬（ARB）",,,"オルメサルタン メドキソミル","本剤過敏症、妊婦・妊娠可能性のある女性、アリスキレン投与中の糖尿病患者は原則禁忌。腎機能低下、脱水、両側腎動脈狭窄、高カリウム血症に注意し、手術前24時間は休薬が望ましい。","活性代謝物がアンジオテンシンⅡ AT1受容体に選択的に結合し、血管収縮やアルドステロン分泌を抑えて血圧を下げる。","顔面・舌などの血管性浮腫、腸管血管性浮腫、腎不全、高カリウム血症、ショック・失神・意識消失、肝機能障害・黄疸、血小板減少、低血糖、横紋筋融解症、アナフィラキシー、重度の下痢、間質性肺炎。","血圧、起立時症状、腎機能、血清K、尿量を確認する。脱水、利尿薬併用、手術予定、K製剤の使用を確認する。顔面・舌の腫脹や、原因不明の腹痛・悪心・嘔吐・下痢は血管性浮腫を疑う。体重減少を伴う持続性下痢にも注意する。","PMDA 医療用医薬品情報「オルメテックOD錠5mg・10mg・20mg・40mg」","https://www.pmda.go.jp/PmdaSearch/rdDetail/iyaku/2149044F5020_1?user=1","2026-07-23","オルメテックOD錠5mg・10mg・20mg・40mg"
"メバロチン錠5・10・細粒0.5%・1%",,"高脂血症, 家族性高コレステロール血症",,"HMG-CoA還元酵素阻害薬",,,"プラバスタチンナトリウム","本剤過敏症、妊婦・妊娠可能性のある女性、授乳婦は禁忌。肝機能障害、腎機能異常、甲状腺機能低下、筋疾患、フィブラート系薬剤・シクロスポリン併用時は横紋筋融解症に注意する。","肝臓のHMG-CoA還元酵素を競合的に阻害してコレステロール合成を抑え、LDL受容体を増加させて血中LDLコレステロールを低下させる。","横紋筋融解症、肝機能障害、血小板減少、間質性肺炎、ミオパチー、免疫介在性壊死性ミオパチー、末梢神経障害、過敏症状、重症筋無力症。","脂質値、AST・ALT、CK、腎機能を確認する。筋肉痛、脱力、褐色尿、発熱・咳・呼吸困難、眼瞼下垂・嚥下困難を観察する。妊娠可能性と併用薬を確認する。","PMDA 医療用医薬品情報「メバロチン錠5・10・細粒0.5%・1%」","https://www.pmda.go.jp/PmdaSearch/rdDetail/iyaku/2189010C1032_2?user=1","2026-07-23","メバロチン錠5・10・細粒0.5%・1%"
"ウブレチド錠5mg",,"手術後・神経因性膀胱などの低緊張性膀胱による排尿困難, 重症筋無力症",,"コリンエステラーゼ阻害薬",,,"ジスチグミン臭化物","消化管・尿路の器質的閉塞、迷走神経緊張症、スキサメトニウム投与中、本剤過敏症は禁忌。致命的なコリン作動性クリーゼの報告があり、特に開始後2週間は厳重に観察する。","コリンエステラーゼを阻害してアセチルコリンの分解を抑え、膀胱排尿筋や神経筋接合部でコリン作動性作用を増強する。","コリン作動性クリーゼ、狭心症、不整脈。","悪心・嘔吐、腹痛、下痢、流涎、気道分泌増加、発汗、徐脈、縮瞳、呼吸困難、意識変化を観察する。脈拍、呼吸、SpO2、排尿状態、血清コリンエステラーゼを確認し、異常時は直ちに報告する。","PMDA 医療用医薬品情報「ウブレチド錠5mg」","https://www.pmda.go.jp/PmdaSearch/rdDetail/iyaku/1231014F1054_1?user=1","2026-07-23","ウブレチド錠5mg"
"ハルナールD錠0.1mg・0.2mg",,"前立腺肥大症に伴う排尿障害",,"選択的α1受容体遮断薬",,,"タムスロシン塩酸塩","本剤過敏症は禁忌。起立性低血圧、重篤な肝機能障害に注意する。降圧薬・PDE5阻害薬との併用で血圧低下が増強することがある。白内障・緑内障手術予定は眼科医へ服用歴を共有する。","尿道・前立腺のα1受容体を遮断して平滑筋を弛緩させ、尿道抵抗を低下させて排尿障害を改善する。","失神・意識喪失、肝機能障害・黄疸。","排尿回数、尿勢、残尿感、尿閉、血圧、立ちくらみ・転倒を観察する。初回・増量時は起立性低血圧に注意する。OD錠はかみ砕かず、寝たまま水なしで服用させない。眼科手術予定を確認する。","PMDA 医療用医薬品情報「ハルナールD錠0.1mg・0.2mg」","https://www.pmda.go.jp/PmdaSearch/rdDetail/iyaku/2590008F1026_1?user=1","2026-07-23","ハルナールD錠0.1mg・0.2mg"
"ヒルナミン錠5mg・25mg・50mg・散50%・細粒10%",,"統合失調症, 躁病, うつ病における不安・緊張",,"定型抗精神病薬（フェノチアジン系）",,,"レボメプロマジンマレイン酸塩","昏睡・循環虚脱、中枢神経抑制剤の強い影響下、原則としてアドレナリン投与中、フェノチアジン系過敏症は禁忌。眠気、起立性低血圧、QT延長、錐体外路症状、抗コリン作用に注意する。","主にドパミンD2受容体を遮断し、アドレナリン、ヒスタミン、ムスカリン受容体への遮断作用も介して抗精神病・鎮静作用を示す。","悪性症候群、突然死、再生不良性貧血・無顆粒球症・白血球減少、麻痺性イレウス、遅発性ジスキネジア・ジストニア、SIADH、眼障害、SLE様症状、横紋筋融解症、肺塞栓症・深部静脈血栓症。","意識、体温、筋強剛、発汗、血圧・脈拍、心電図、便通、排尿、嚥下、転倒、錐体外路症状を観察する。血算、Na、CK、肝腎機能を確認し、急な発熱・筋強剛、胸痛・呼吸困難・片脚腫脹は直ちに報告する。","PMDA 医療用医薬品情報「ヒルナミン錠・散・細粒」","https://www.pmda.go.jp/PmdaSearch/rdDetail/iyaku/1172014B2056_3?user=1","2026-07-23","ヒルナミン錠（5mg・25mg・50mg）・散50%・細粒10%"
